source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
TSPA,"Tooling Policy Specialist, Legal Content Policy and Standards",Google,Trust & Safety,United States,"Austin, TX",Specialist,Policy,,,,2026-05-12,,,,https://www.google.com/about/careers/applications/jobs/results/129025183359869638,https://www.google.com/about/careers/applications/jobs/results/129025183359869638,57,
TSPA,"Policy Enforcement Manager, Child Safety, YouTube Trust and Safety",Google,Trust & Safety,United States,"San Bruno, CA, US",Manager,Policy,,,,2026-05-12,,,,https://www.google.com/about/careers/applications/jobs/results/143916037912306374-policy-enforcement-manager/,https://www.google.com/about/careers/applications/jobs/results/143916037912306374-policy-enforcement-manager/,71,
TSPA,"Policy Enforcement Manager, YouTube Partner Program",Google,Trust & Safety,India,"Hyderabad, Telangana, India",Manager,Policy,,,,2026-05-12,,,,https://www.google.com/about/careers/applications/jobs/results/109638511660802758-policy-enforcement-manager-youtube-partner-program,https://www.google.com/about/careers/applications/jobs/results/109638511660802758-policy-enforcement-manager-youtube-partner-program,103,
TSPA,Senior Staff Data Platform Architect,GoFundMe,Trust & Safety,Argentina,"Buenos Aires, Argentina",Senior Staff,Data,,,,2026-05-12,,,,https://job-boards.greenhouse.io/gofundme/jobs/7839650,https://job-boards.greenhouse.io/gofundme/jobs/7839650,99,
TSPA,"Analyst I, Content Risk",GoFundMe,Trust & Safety,Australia,"Sydney, Australia",Analyst,Content Moderation,,,,2026-05-12,,,,https://job-boards.greenhouse.io/gofundme/jobs/7759902,https://job-boards.greenhouse.io/gofundme/jobs/7759902,104,
TSPA,"Analyst II, Strategy & Operations",GoFundMe,Trust & Safety,Argentina,"Buenos Aires, Argentina",Analyst,Operations,,,,2026-05-12,,,,https://job-boards.greenhouse.io/gofundme/jobs/7763520,https://job-boards.greenhouse.io/gofundme/jobs/7763520,106,
TSPA,"Software Engineer, Trust & Safety",Gamma,Trust & Safety,United States,"San Francisco, CA, US",Engineer,Engineering,,,,2026-05-12,,,,https://jobs.ashbyhq.com/gamma/274f4b95-d167-4ff2-ba98-89d2d6f114a3,https://jobs.ashbyhq.com/gamma/274f4b95-d167-4ff2-ba98-89d2d6f114a3,77,
TSPA,"Manager, Trust & Safety",Fanatics,Trust & Safety,United States,"New York, NY, US",Manager,Trust & Safety,,,,2026-05-12,,,,https://job-boards.greenhouse.io/fanaticscollectibles/jobs/4229550009,https://job-boards.greenhouse.io/fanaticscollectibles/jobs/4229550009,84,
TSPA,"Group Product Manager, Trust Experience",Etsy,Trust & Safety,United States,"Brooklyn, NY, US",Manager,Trust & Safety,,,,2026-05-12,,,,https://etsy.wd5.myworkdayjobs.com/Etsy_Careers/job/Brooklyn-New-York/Group-Product-Manager--Trust-Experience_JR5415-1,https://etsy.wd5.myworkdayjobs.com/Etsy_Careers/job/Brooklyn-New-York/Group-Product-Manager--Trust-Experience_JR5415-1,113,
TSPA,"Senior Product Manager, Trust Experience",Etsy,Trust & Safety,Ireland,"Dublin, Ireland",Senior,Trust & Safety,,,,2026-05-12,,,,https://etsy.wd5.myworkdayjobs.com/Etsy_Careers/job/Dublin-Ireland/Senior-Product-Manager--Trust-Experience_JR5412-1,https://etsy.wd5.myworkdayjobs.com/Etsy_Careers/job/Dublin-Ireland/Senior-Product-Manager--Trust-Experience_JR5412-1,126,
TSPA,Policy Manager – Prohibited Items,eBay,Trust & Safety,United States,"Salt Lake City, UT, US",Manager,Policy,,,,2026-05-12,,,,https://ebay.wd5.myworkdayjobs.com/apply/job/Salt-Lake-City/Policy-Manager---Prohibited-Items_R0073617,https://ebay.wd5.myworkdayjobs.com/apply/job/Salt-Lake-City/Policy-Manager---Prohibited-Items_R0073617,56,
TSPA,"Program Manager, Detection & Enforcement, Counter-Extremism",Discord,Trust & Safety,Netherlands,Remote,Manager,Trust & Safety,,,,2026-05-12,,,,https://discord.com/jobs/8498996002,https://discord.com/jobs/8498996002,60,
TSPA,"Public Policy Lead, U.S. States",Discord,Trust & Safety,United States,Remote,Lead,Policy,,,,2026-05-12,,,,https://job-boards.greenhouse.io/discord/jobs/8419048002,https://job-boards.greenhouse.io/discord/jobs/8419048002,112,
TSPA,Senior Software Engineer – Safety Processing,Discord,Trust & Safety,United States,"San Francisco Bay Area, CA, US",Senior,Engineering,,,,2026-05-12,,,,https://job-boards.greenhouse.io/discord/jobs/8377248002?gh_src=8ibjd9bu2us,https://job-boards.greenhouse.io/discord/jobs/8377248002?gh_src=8ibjd9bu2us,135,
TSPA,"Staff Software Engineer, Safety Processing",Discord,Trust & Safety,United States,"San Francisco Bay Area, CA, US",Staff Engineer,Engineering,,,,2026-05-12,,,,https://job-boards.greenhouse.io/discord/jobs/8214127002?gh_src=ehjjant22us,https://job-boards.greenhouse.io/discord/jobs/8214127002?gh_src=ehjjant22us,136,
TSPA,Staff Software Engineer – Safety Experience,Discord,Trust & Safety,United States,"San Francisco Bay Area, CA, US",Staff Engineer,Engineering,,,,2026-05-12,,,,https://job-boards.greenhouse.io/discord/jobs/8344197002?gh_src=905dt2wu2us,https://job-boards.greenhouse.io/discord/jobs/8344197002?gh_src=905dt2wu2us,138,
TSPA,Senior Engineering Manager – Data Platform,Depop,Trust & Safety,United Kingdom,"London, UK",Manager,Data,,,,2026-05-12,,,,https://etsy.wd5.myworkdayjobs.com/Depop_Careers/job/London-UK/Senior-Engineering-Manager---Data-Platform_JR5513,https://etsy.wd5.myworkdayjobs.com/Depop_Careers/job/London-UK/Senior-Engineering-Manager---Data-Platform_JR5513,88,
TSPA,Staff Data Scientist – Trust and Safety,Databricks,Trust & Safety,United States,"San Francisco, CA, US",Data Scientist,Data,,,,2026-05-12,,,,https://www.databricks.com/company/careers/engineering---pipeline/-staff-data-scientist---trust-and-safety-8178287002,https://www.databricks.com/company/careers/engineering---pipeline/-staff-data-scientist---trust-and-safety-8178287002,73,
TSPA,"Product Manager, Safety Research",Cohere,Trust & Safety,United States,Remote,Manager,Trust & Safety,,,,2026-05-12,,,,https://jobs.ashbyhq.com/cohere/a8122632-cc3b-4a1a-bd78-4b4b9466cb38,https://jobs.ashbyhq.com/cohere/a8122632-cc3b-4a1a-bd78-4b4b9466cb38,89,
TSPA,"Senior Data Analyst, Trust & Safety",Chime,Trust & Safety,United States,"San Francisco, CA, US",Senior,Data,,,,2026-05-12,,,,https://job-boards.greenhouse.io/chime/jobs/8344063002,https://job-boards.greenhouse.io/chime/jobs/8344063002,76,
TSPA,Risk & Compliance Analyst | Analista de Riesgos y Cumplimiento,Checkout.com,Trust & Safety,Mexico,"Mexico City, Mexico",Analyst,Legal,,,,2026-05-12,,,,https://jobs.ashbyhq.com/checkout.com/2dc6e7d8-6d42-4058-a2c9-311a973d2f0a,https://jobs.ashbyhq.com/checkout.com/2dc6e7d8-6d42-4058-a2c9-311a973d2f0a,98,
TSPA,Integrity Operations Specialist,Bumble,Trust & Safety,United States,"Austin, TX, US",Specialist,Trust & Safety,,,,2026-05-12,,,,https://jobs.lever.co/bumbleinc/1bab5ddf-effc-4aab-9947-fb49bc8a04f5/,https://jobs.lever.co/bumbleinc/1bab5ddf-effc-4aab-9947-fb49bc8a04f5/,110,
TSPA,Data Privacy Counsel,Aylo,Trust & Safety,Cyprus,"Nicosia, Cyprus",Counsel,Legal,,,,2026-05-12,,,,https://job-boards.greenhouse.io/aylo/jobs/8507805002,https://job-boards.greenhouse.io/aylo/jobs/8507805002,95,
TSPA,Trust & Safety Senior Specialist,Artsy,Trust & Safety,United States,"New York, NY, US",Senior,Trust & Safety,,,,2026-05-12,,,,https://jobs.ashbyhq.com/artsy/f4ad1a95-2b80-431b-8fc0-0572ec428de1,https://jobs.ashbyhq.com/artsy/f4ad1a95-2b80-431b-8fc0-0572ec428de1,83,
HigherEdJobs,Professor of Administration of Justice & Homeland Security,Arizona Western College,Administration of Justice & Homeland Security,United States,"Yuma, AZ",Full Professor,"Administration of Justice, Homeland Security",,,,2026-05-12,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179440647,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179440647,211,
